wl_micron nw
1.92996 1.310544
1.9296 1.310545
1.92888 1.31055
1.92852 1.310553
1.92816 1.310557
1.9278 1.310558
1.92745 1.31056
1.92709 1.31056
1.92673 1.310562
1.92637 1.310564
1.92566 1.310564
1.92494 1.310562
1.92458 1.310564
1.92423 1.310564
1.92387 1.310565
1.92351 1.310562
1.92316 1.31056
1.9228 1.310558
1.92244 1.31056
1.92173 1.310561
1.92137 1.31056
1.92102 1.310561
1.92066 1.310564
1.92031 1.310568
1.91995 1.310569
1.9196 1.31057
1.91924 1.310569
1.91888 1.310569
1.91853 1.310567
1.91782 1.310563
1.91747 1.31056
1.91711 1.310556
1.91676 1.310554
1.9164 1.310554
1.91605 1.310554
1.91569 1.31055
1.91534 1.310547
1.91499 1.310543
1.91463 1.310541
1.91393 1.310531
1.91357 1.310526
1.91322 1.310523
1.91287 1.310518
1.91251 1.310514
1.91216 1.310511
1.91181 1.310508
1.91146 1.310505
1.9111 1.310505
1.91075 1.310503
1.91005 1.310499
1.90969 1.3105
1.90934 1.310501
1.90899 1.310504
1.90864 1.310504
1.90829 1.310503
1.90794 1.310499
1.90759 1.310497
1.90724 1.310495
1.90688 1.310495
1.90618 1.310489
1.90583 1.310484
1.90548 1.310481
1.90513 1.310478
1.90478 1.310477
1.90443 1.310474
1.90408 1.310474
1.90373 1.310472
1.90303 1.310467
1.90234 1.310467
1.90199 1.310467
1.90164 1.310466
1.90129 1.310467
1.90094 1.310466
1.90059 1.310467
1.90024 1.310468
1.8999 1.31047
1.8992 1.310476
1.89885 1.310477
1.8985 1.310481
1.89816 1.310485
1.89781 1.310492
1.89746 1.310498
1.89711 1.310505
1.89677 1.310511
1.89642 1.310519
1.89607 1.310527
1.89538 1.310543
1.89503 1.310549
1.89469 1.310556
1.89434 1.310565
1.894 1.310572
1.89365 1.31058
1.8933 1.310589
1.89296 1.3106
1.89261 1.31061
1.89227 1.310621
1.89158 1.310644
1.89123 1.310655
1.89089 1.310666
1.89054 1.310676
1.8902 1.310689
1.88985 1.3107
1.88951 1.310711
1.88916 1.310723
1.88882 1.310737
1.88848 1.31075
1.88779 1.310776
1.88744 1.310789
1.8871 1.3108
1.88676 1.310815
1.88641 1.31083
1.88607 1.310846
1.88573 1.310862
1.88539 1.310878
1.88504 1.310892
1.8847 1.31091
1.88401 1.310947
1.88367 1.310963
1.88333 1.310982
1.88299 1.310999
1.88265 1.311016
1.8823 1.31103
1.88196 1.311047
1.88162 1.311063
1.88094 1.311098
1.88026 1.311129
1.87992 1.311147
1.87957 1.311164
1.87923 1.311182
1.87889 1.311198
1.87855 1.311216
1.87821 1.311234
1.87787 1.311251
1.87719 1.311289
1.87685 1.311307
1.87651 1.311325
1.87617 1.311341
1.87583 1.311358
1.87549 1.311375
1.87516 1.311394
1.87482 1.311412
1.87448 1.311433
1.87414 1.311451
1.87346 1.311491
1.87312 1.311513
1.87278 1.311532
1.87245 1.311551
1.87211 1.311569
1.87177 1.311587
1.87143 1.311605
1.87109 1.311626
1.87076 1.311646
1.87042 1.311666
1.86974 1.311706
1.86941 1.311725
1.86907 1.311744
1.86873 1.311764
1.8684 1.311786
1.86806 1.311806
1.86772 1.311824
1.86739 1.311841
1.86705 1.311859
1.86671 1.311875
1.86604 1.311908
1.86571 1.311926
1.86537 1.311942
1.86504 1.311957
1.8647 1.31197
1.86436 1.311984
1.86403 1.311999
1.86369 1.312015
1.86336 1.312027
1.86302 1.31204
1.86236 1.312069
1.86202 1.312085
1.86169 1.3121
1.86135 1.312113
1.86102 1.312126
1.86068 1.312137
1.86035 1.31215
1.86002 1.312162
1.85935 1.312187
1.85868 1.312218
1.85835 1.312234
1.85802 1.312249
1.85768 1.312264
1.85735 1.312277
1.85702 1.312291
1.85669 1.312306
1.85635 1.312319
1.85569 1.312345
1.85536 1.312356
1.85502 1.312367
1.85469 1.312376
1.85436 1.312388
1.85403 1.3124
1.8537 1.312412
1.85337 1.312423
1.85304 1.312436
1.8527 1.31245
1.85204 1.31248
1.85171 1.312495
1.85138 1.312511
1.85105 1.31253
1.85072 1.31255
1.85039 1.312572
1.85006 1.312591
1.84973 1.312611
1.8494 1.312629
1.84907 1.312649
1.84841 1.312685
1.84808 1.312702
1.84775 1.312721
1.84742 1.312739
1.84709 1.312757
1.84676 1.312774
1.84643 1.312792
1.84611 1.312807
1.84578 1.312823
1.84545 1.312837
1.84479 1.312865
1.84446 1.312878
1.84414 1.31289
1.84381 1.312903
1.84348 1.312916
1.84315 1.31293
1.84282 1.312943
1.8425 1.312956
1.84217 1.312969
1.84184 1.312982
1.84119 1.313005
1.84086 1.313015
1.84053 1.313024
1.84021 1.313032
1.83988 1.313042
1.83956 1.313052
1.83923 1.313064
1.8389 1.313073
1.83825 1.313099
1.83792 1.313113
1.8376 1.313125
1.83727 1.313138
1.83695 1.313148
1.83662 1.313158
1.8363 1.31317
1.83597 1.313186
1.83565 1.313199
1.83532 1.313212
1.83467 1.31324
1.83435 1.313252
1.83402 1.313264
1.8337 1.313276
1.83337 1.313292
1.83305 1.313308
1.83273 1.313325
